userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
eda,0,0,2,pos,2,0,12.43,0,3-4,13.417
eda,27,3,1,num,0,0,6.30,0,5,11.964
eda,12,0,0,pos,,0,,0,6,60
eda,21,3,2,num,1,small&sparse,17.02,1,1,17.95
eda,29,5,1,num,4,small&sparse,2.94,1,4,3.736
eda,15,3,0,pos,7,small&sparse,1.64,1,7,2.587
eda,60,-1,2,center position,5,small&dense,4.28,1,5,5.465
eda,34,4,0,num,7,large&dense,35.67,0,5-7-6,60
