123.5,3.318152245,AL
121,9.090909091,AL
121,7.277882798,AL
121,7.064364207,AL
121,6.968641115,AL
121,3.430877901,AL
120,9.867674858,AL
120,8.823529412,AL
120,6.881903144,AL
120,6.483036614,AL
120,6.395348837,AL
120,6.375545852,AL
120,5.534779357,AL
120,5.275498242,AL
120,3.340292276,AL
120,2.600671141,AL
120,0.184501845,AL
118.5,2.473684211,AL
111,4.663212435,AL
110,0.702576112,AL
109,-3.790322581,AL
107.5,2.885006095,AL
107,7.609594706,AL
105.5,3.863522328,AL
105,2.839756592,AL
101,1.625526791,AL
90,2.972136223,AL
176,2.053789731,SC
167,0.479386385,SC
159.5,2.068965517,SC
154,5.378304467,SC
150.5,-9.970384995,SC
138,3.463687151,SC
131.5,2.300884956,SC
124.5,4.417177914,SC
124.5,3.850641774,SC
124,-5.452865065,SC
122.5,3.464203233,SC
121,1.297648013,SC
119,6.362378976,SC
119,5.344202899,SC
119,3.075489282,SC
115.5,9.423769508,SC
115.5,7.051909892,SC
115.5,6.745670009,SC
115,4.653061224,SC
114,17.81472684,SC
114,9.493670886,SC
114,8.658008658,SC
114,3.778040142,SC
109,2.921348315,SC
109,1.956673655,SC
105.5,3.652968037,SC
102,9.104704097,SC
101,7.770700637,SC
100,2.453653217,SC
99.5,6.611570248,SC
96,6.753390534,SC
96,5.154639175,SC
95,6.517168886,SC
92.5,0.058892815,SC
89,7.204116638,SC
84,3.576537911,SC
163,-2.682926829,PA
153,1.517450683,PA
153,-0.819318672,PA
150,2.436440678,PA
148,-1.892371378,PA
148,-3.159557662,PA
148,-5.930807249,PA
144.5,2.825455506,PA
144,-5.185185185,PA
142,2.83171521,PA
131,1.379310345,PA
129.5,-2.336448598,PA
129,4.515706806,PA
127,-0.522193211,PA
125,2.256498143,PA
125,-1.362510322,PA
124.5,1.587301587,PA
123,0.162271805,PA
122.5,4.243542435,PA
122.5,1.342281879,PA
122.5,0.293255132,PA
122.5,-1.854140915,PA
122,2.366863905,PA
120,3.295571576,PA
120,-2.610669694,PA
119.5,0.769769069,PA
118.5,1.302325581,PA
118,-1.389473684,PA
117,1.24003543,PA
117,-0.496853263,PA
117,-1.351351351,PA
115.5,1.271534044,PA
115.5,-0.733240223,PA
115,7.111111111,PA
112.5,2.396259497,PA
112,1.74691095,PA
112,1.354620223,PA
112,0.545423555,PA
111.5,1.092597651,PA
111,3.534482759,PA
111,1.858172165,PA
111,0.867947923,PA
111,-0.568990043,PA
111,-1.616915423,PA
110,4.054054054,PA
110,3.744493392,PA
110,2.957486137,PA
110,2.589641434,PA
110,-0.26560425,PA
110,-2.091152815,PA
110,-4.77326969,PA
109,0.672782875,PA
109,0,PA
106.5,4.336224149,PA
105,2.720403023,PA
104.5,3.778751369,PA
102,1.602403605,PA
99.5,2.942361951,PA
98,2.892960463,PA
98,2.390914525,PA
98,2.370990237,PA
97,1.825789273,PA
97,0.514516722,PA
96.5,2.998038666,PA
93,4.945598417,PA
92.5,5.697151424,PA
92.5,-1.227436823,PA
91,1.105237866,PA
91,-1.269474899,PA
90,2.942330326,PA
86,-0.216138329,PA
85,0.968366688,PA
176,2.471225457,RI
171,0.774550484,RI
140,0.483425414,RI
115,2.261948194,RI
112.5,4.127829561,RI
112,2.223675605,RI
111,6.610169492,RI
104,4.769736842,RI
104,4.385584021,RI
104,4.133466135,RI
99.5,4.064171123,RI
98,5.599472991,RI
96,3.044397463,RI
94,5.841269841,RI
93,7.154129406,RI
87,6.293706294,RI
137,0.765306122,WV
84.5,-0.094384143,WV
